Term,What it means
ED,"Early Decision — apply early and, if admitted, you are bound to enrol and withdraw your other applications. Avoid it if you need to compare aid offers."
EA,"Early Action — apply early for an earlier decision; non-binding, so you stay free to compare offers and decline."
RD,Regular Decision — the standard round with the normal (later) deadline; non-binding.
SCEA,"Single-Choice Early Action — a restrictive early option: non-binding, but you may not apply early to most other private universities at the same time."
REA,Restrictive Early Action — like SCEA: non-binding early action that bars you from applying early to other private schools.
demonstrated need,"Your cost of attendance minus what the university calculates your family can pay. ""Meets 100% of need"" means it covers that gap — it does not automatically mean you pay nothing, so check what's left for you."
need-blind,The university decides admission without looking at whether you asked for financial aid — requesting aid can't hurt your chances.
need-aware,"Your ability to pay can factor into the admission decision — you still request aid, but it is a consideration."
CSS Profile,The College Board's detailed financial-aid application most US universities use to assess your need (separate from the FAFSA). Opens 1 October.
IDOC,College Board's Institutional Documentation Service — where you upload your parents' tax/income documents for financial aid.
PFAA,"Princeton Financial Aid Application — Princeton's own aid form, filed alongside the CSS Profile."
ISAFA,International Student Financial Aid Application — Stanford's alternative aid form if you can't pay the CSS Profile fee.
Common App,The Common Application — one online form plus one main essay you reuse across many US universities.
SAT,A standardised US university-entrance exam; many US universities require the SAT or the ACT.
ACT,A standardised US university-entrance exam; an accepted alternative to the SAT.
IELTS,"International English Language Testing System — an English-proficiency test. Your English-medium A-Levels waive it at many universities, but not all."
TOEFL,Test of English as a Foreign Language — an English-proficiency test; an alternative to IELTS.
ESAT,Engineering and Science Admissions Test — required by Oxford and Imperial engineering; register and sit it in autumn.
CSCA,China's common standardised admission assessment that international undergraduates must sit before applying to Chinese universities.
CSC,China Scholarship Council scholarship — the main full-ride government scholarship for international students in China.
CGS,"Chinese Government Scholarship — the award the CSC administers; the full version covers tuition, campus accommodation, a monthly stipend and medical insurance."
MOE Tuition Grant,Singapore's Ministry of Education subsidy that cuts tuition sharply in exchange for a 3-year work bond after graduation.
JPA,"Malaysian government overseas-study sponsorship (JPA / MARA, via the PKJM programme) — a route to full funding for eligible students."
X1 visa,"China's long-stay student visa, for a course longer than 180 days; you swap it for a residence permit within 30 days of arriving."
STEAM,"Science, Technology, Engineering, Art and Mathematics — a curriculum style that folds design and the arts into a standard STEM degree."
UAC,Universities Admissions Centre — the shared applications hub for Australian Year-12 students; international applicants usually apply to each university directly instead.
Washington Accord,"An international agreement that mutually recognises engineering degrees between member countries (the US, UK, Australia and Malaysia all belong), so an accredited degree carries over."
BEM,Board of Engineers Malaysia — the body you register with to practise as an engineer in Malaysia; it recognises accredited degrees via the Washington Accord.
MQA,Malaysian Qualifications Agency — the Malaysian body that recognises foreign qualifications; check its register to confirm your degree counts back home.
MAE,Mechanical & Aerospace Engineering — a common name for the university department or school that houses mechanical engineering degrees.
ECE,Electrical & Computer Engineering — a common name for the university department covering electrical engineering and computer hardware.
B.S.E.,"Bachelor of Science in Engineering — Princeton's four-year engineering degree track, distinct from its liberal-arts A.B. track."
eating club,A private co-ed dining-and-social house on Princeton's Prospect Avenue that most juniors and seniors join in place of a dining hall.
MARA,"Majlis Amanah Rakyat — a Malaysian government agency that sponsors and lends to Bumiputera students for pre-university and degree study, locally and abroad."
CPT,Curricular Practical Training — US work permission that lets you take an internship connected to your degree while you are still studying.
PRL,"Product Realization Lab — Stanford's student machine shop and makerspace, covering welding, machining, woodworking and rapid prototyping."
musalla,"A dedicated Muslim prayer room, typically with washing facilities for wudu."
QS,"QS World University Rankings — one of the three global university league tables, published annually by Quacquarelli Symonds. Weighted heavily toward academic and employer reputation surveys."
CEng,"Chartered Engineer — the UK's full professional-engineer status; it usually needs an accredited MEng (or a BEng plus further learning) and maps to the Washington Accord, so it's the route Malaysia's BEM recognises for Ir. registration."
UCAS,"The UK's central undergraduate application service — one form to apply to up to five UK universities, with a mid-January equal-consideration deadline."
Graduate Route,The UK's post-study work visa — lets graduates stay and work after their degree (18 months for bachelor's/master's applying from 1 January 2027).
SEAS,Harvard's John A. Paulson School of Engineering and Applied Sciences — the school that houses every engineering and computer science concentration.
IES,"Institution of Engineers, Singapore — the professional body behind EAB accreditation."
