Term,What it means
ED,"Early Decision — apply early and, if admitted, you are bound to enrol and withdraw your other applications. Avoid it if you need to compare aid offers."
EA,"Early Action — apply early for an earlier decision; non-binding, so you stay free to compare offers and decline."
RD,Regular Decision — the standard round with the normal (later) deadline; non-binding.
REA,Restrictive Early Action — like SCEA: non-binding early action that bars you from applying early to other private schools.
cost of attendance,"The university's official all-in yearly price — tuition plus housing, food, fees, books and personal expenses. This is the number financial aid is measured against, not the tuition figure alone."
demonstrated need,"Your cost of attendance minus what the university calculates your family can pay. ""Meets 100% of need"" means it covers that gap — it does not automatically mean you pay nothing, so check what's left for you."
need-blind,The university decides admission without looking at whether you asked for financial aid — requesting aid can't hurt your chances.
need-aware,"Your ability to pay can factor into the admission decision — you still request aid, but it is a consideration."
CSS Profile,The College Board's detailed financial-aid application most US universities use to assess your need (separate from the FAFSA). Opens 1 October.
Common App,The Common Application — one online form plus one main essay you reuse across many US universities.
SAT,A standardised US university-entrance exam; many US universities require the SAT or the ACT.
ACT,A standardised US university-entrance exam; an accepted alternative to the SAT.
IELTS,"International English Language Testing System — an English-proficiency test. Your English-medium A-Levels waive it at many universities, but not all."
TOEFL,Test of English as a Foreign Language — an English-proficiency test; an alternative to IELTS.
MOE Tuition Grant,Singapore's Ministry of Education subsidy that cuts tuition sharply in exchange for a 3-year work bond after graduation.
JPA,"Malaysian government overseas-study sponsorship (JPA / MARA, via the PKJM programme) — a route to full funding for eligible students."
ABET,The US accreditation board for engineering and technology degrees. An ABET-accredited degree is recognised internationally and eases professional registration back home.
Washington Accord,"An international agreement that mutually recognises engineering degrees between member countries (the US, UK, Australia and Malaysia all belong), so an accredited degree carries over."
BEM,Board of Engineers Malaysia — the body you register with to practise as an engineer in Malaysia; it recognises accredited degrees via the Washington Accord.
MQA,Malaysian Qualifications Agency — the Malaysian body that recognises foreign qualifications; check its register to confirm your degree counts back home.
EAC,Engineering Accreditation Council — the Malaysian body that accredits engineering degrees for the Washington Accord and for BEM Professional Engineer (Ir.) registration.
Ir.,The title of a Professional Engineer registered with BEM — the qualification you need to sign off engineering work in Malaysia.
UPU,"The central application system for Malaysian public universities — one form, used instead of applying to each university directly."
MUET,"Malaysian University English Test — the English test Malaysian public universities require through UPU, in place of IELTS."
STPM,"Malaysia's national pre-university qualification (Sijil Tinggi Persekolahan Malaysia), the local route into a degree alongside A-Levels."
Employment Pass,"Singapore's work visa for professionals. There is no post-study work visa there, so staying on means landing a job above a set salary bar and clearing COMPASS."
EAB,"Engineering Accreditation Board — Singapore's engineering accreditor. Its degrees carry the Washington Accord, so they map onto Malaysia's BEM route."
G30,A Japanese government programme of degrees taught entirely in English — one of the few routes in without Japanese-language qualifications.
MEXT,"Japan's government scholarship — can cover tuition, a monthly living allowance and airfare, but it is highly competitive and application-heavy."
JASSO,"Japan Student Services Organisation — runs smaller monthly stipends for international students, separate from MEXT."
JABEE,"Japan's engineering accreditor. Japan signs the Washington Accord through JABEE, but not every Japanese programme is accredited — check the specific degree."
RU11,"A group of 11 leading Japanese research universities — a rough marker of research strength, like Australia's Group of Eight."
