List status,Desirability,Tier,Admission likelihood,Warnings,University,Course,Course at a glance,Country,City,Student life,Subject rank,Overall rank,Entry requirements,Student grades,Grades vs entry bar,English req,Annual tuition,Total tuition,Est. living/yr,Duration (yrs),Approx total (MYR),Scholarship & portal,Scholarship coverage,Scholarship competitiveness,How to get the scholarship,Money to show (visa),Work rights after graduating,Recognised in Malaysia?,How to apply,Key deadline,Intake,Notes,Course URL,Info source
Longlist,77,A,Match,,University of Bristol,BSc Data Science,,UK,Bristol,,Bristol UK top-5 for Maths research (REF 2021),QS ~#54,A*AA incl A* Maths OR AAB incl A Maths + A Further Maths (alternative offer),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Meets,IELTS 6.5 (6.0) typical,GBP 31300,GBP 93900,GBP 12500,3,775260,"Bristol Think Big international undergraduate scholarships (GBP 5,000-20,000, partial) — Bristol international scholarships portal",,,,~GBP 12500/yr living shown for Student visa,Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,,https://www.bristol.ac.uk/study/undergraduate/2027/maths/bsc-data-science/,Not verified
Longlist,77,A,Safety,,University of Sheffield,BSc Data Science,,UK,Sheffield,,Sheffield strong for CS/Maths; Russell Group,QS ~#105,AAB (A-level typical offer),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Above,IELTS 6.5 (6.0 in each),GBP 28160,GBP 84480,GBP 11500,3,701982,"Sheffield international undergraduate scholarship GBP 2,500/yr (auto-considered) — Sheffield fees & funding portal","GBP 2,500 per year tuition discount for eligible international students (partial)",,,~GBP 11500/yr living shown for Student visa (outside London),Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,,https://sheffield.ac.uk/undergraduate/courses/2027/data-science-bsc,Not verified
Longlist,76,A,Reach,,London School of Economics and Political Science,BSc Data Science,,UK,London,,LSE world-leading for stats/econometrics; strong DS,QS ~#50; UK top-10,A*A*A incl A* in Mathematics (indicative),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Below,IELTS 7.0 (7.0) typical (LSE is high),GBP 28176,GBP 84528,GBP 15500,3,773065,"LSE Undergraduate Support Scheme (need-based, limited for overseas) — LSE financial support portal",,,,~GBP 13347/yr living shown (London rate) for Student visa,Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-data-science,Not verified
Longlist,74,B,Safety,,University of Leeds,BSc Data Science,,UK,Leeds,,Leeds one of the largest UK Maths departments; strong DS,QS ~#82,AAA - AAB incl A in Mathematics (AAB/A*BB with Maths + Further Maths),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Above,IELTS 6.0 (5.5 in each) — low bar,GBP 29750,GBP 89250,GBP 11500,3,730125,Leeds international undergraduate merit scholarships (partial) — Leeds scholarships portal,,,,~GBP 11500/yr living shown for Student visa (outside London),Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,,https://courses.leeds.ac.uk/j747/data-science-bsc,Not verified
Longlist,73,B,Reach,Over budget,University of Warwick,BSc Data Science,,UK,Coventry,,Warwick top-5 UK for Maths/Stats; strong DS/AI,QS ~#69; UK top-10,A*A*A incl A* in Mathematics (Band A typical offer),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Below,IELTS 6.5 (6.0 in each) typical,GBP 35530,GBP 106590,GBP 12000,3,841281,Warwick Undergraduate Global Excellence / department bursaries — via Warwick scholarships portal (mostly partial),,,,~GBP 12000/yr living shown for Student visa (outside London),Graduate Route post-study work (currently ~2 yrs; being reduced toward 18 months for some — confirm),UK degree — MQA generally recognises UK bachelor's; Data Science not a regulated profession (no professional-body gate),UCAS,2027-01-15,2027 Sept,,https://warwick.ac.uk/study/undergraduate/courses/bsc-data-science/,Not verified
Longlist,73,B,Reach,Over budget,University College London,BSc Data Science,,UK,London,,UCL top UK for CS/DS research,QS ~#9,A*A*A incl A* in Mathematics (indicative),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Below,IELTS 6.5 (6.0) 'Good level' typical,GBP 35000,GBP 105000,GBP 15500,3,893850,UCL Undergraduate Scholarships (limited for internationals) — UCL scholarships portal,,,,~GBP 13347/yr living shown (London rate) for Student visa,Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated (no professional-body gate),UCAS,2027-01-15,2027 Sept,"London, top-10 world. Entry A*A*A indicative — REACH (he has A in Maths). Fee + London living make it one of the pricier options; verify exact DS fee at Stage 4.",https://www.ucl.ac.uk/study/prospective-students/undergraduate/courses/data-science-bsc,Not verified
Longlist,73,B,Safety,,Nottingham Trent University,BSc (Hons) Data Science,,UK,Nottingham,,Modern university; teaching/placement focus,Outside QS top-800 (modern uni),"BBC (104-112 UCAS pts), Maths preferred (indicative)","AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Above,IELTS 6.0 (5.5) typical,GBP 17500,GBP 52500,GBP 11000,3,504450,NTU international scholarships (partial) — NTU scholarships portal,,,,~GBP 11000/yr living shown for Student visa (outside London),Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,"Clear high-admit SAFETY and the cheapest option -> best budget fit. Strong placement/employability focus, but low ranking (weak on his #1 priority). Keep as a financial/insurance safety.",https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-data-science,Not verified
Longlist,72,B,Reach,Over budget,University of Manchester,BSc Computer Science (Data Science pathway),,UK,Manchester,,Manchester top-5 UK CS; strong DS/AI,QS ~#34,A*A*A incl A* Mathematics (BSc Computer Science),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Below,IELTS 6.5 (6.0) typical,GBP 38000,GBP 114000,GBP 12000,3,885000,Manchester international undergraduate merit awards (partial) — Manchester scholarships portal,,,,~GBP 12000/yr living shown for Student visa (outside London),Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; CS/DS not a regulated profession,UCAS,2027-01-15,2027 Sept,,https://www.manchester.ac.uk/study/undergraduate/courses/2026/00560/bsc-computer-science/,Not verified
Longlist,71,B,Reach,,University of Bath,"BSc Mathematics, Statistics and Data Science",,UK,Bath,,Bath top-10 UK for Maths; strong graduate outcomes,QS ~#150; UK top-10 for satisfaction/employability,"A*A*A / A*AAB incl A* in Mathematics (with Further Maths, alternative A*ABB incl A* Maths + B Further Maths)","AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Below,IELTS 6.5 (6.0 in each),GBP 28700,GBP 86100,GBP 12000,3,720390,Bath international undergraduate scholarships (partial) — Bath scholarships portal,,,,~GBP 12000/yr living shown for Student visa (outside London),Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,,https://www.bath.ac.uk/courses/undergraduate-2027/mathematical-sciences/bsc-mathematics-statistics-and-data-science/,Not verified
Longlist,71,B,Safety,,Manchester Metropolitan University,BSc (Hons) Artificial Intelligence and Data Science,,UK,Manchester,,Modern university; industry/placement focus,QS ~#801-1000,"BBB (112-120 UCAS pts), Maths/Computing preferred (indicative)","AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Above,IELTS 6.0 (5.5) typical,GBP 20000,GBP 60000,GBP 11500,3,557550,Man Met international scholarships (partial) — Man Met scholarships portal,,,,~GBP 11500/yr living shown for Student visa (outside London),Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; AI/DS unregulated,UCAS,2027-01-15,2027 Sept,"Dedicated AI & Data Science BSc, high-admit SAFETY, affordable. Low ranking (weak on his #1 priority) — an insurance option. Verify exact course URL/entry at Stage 4 (listing found via aggregator).",https://www.mmu.ac.uk/course/undergraduate,Not verified
